,Symbol,Cleaned Name
1112,GNMK,GenMark
1113,GNMX,Aevi
1114,GNPX,Genprex
1115,GNRX,VanEck
1116,GNTX,Gentex
1117,GNTY,Guaranty
1118,GNUS,Genius
1119,GOGL,Golden
1120,GOGO,Gogo
1121,GOLD,Randgold
1122,GOOD,Gladstone
1123,GOODM,Gladstone
1124,GOODO,Gladstone
1125,GOODP,Gladstone
1126,GOOG,Alphabet
1127,GOOGL,Alphabet
1128,GOV,Government
1129,GOVNI,Government
1130,GPAQ,Gordon
1131,GPAQU,Gordon
1132,GPAQW,Gordon
1133,GPIC,Gaming
1134,GPOR,Gulfport
1135,GPP,Green
1136,GPRE,Green
1137,GPRO,GoPro
1138,GRBIC,Gabelli
1139,GRBK,Green
1140,GRFS,Grifols
1141,GRIF,Griffin
1142,GRIN,Grindrod
1143,GRMN,Garmin
1144,GRNQ,Greenpro
1145,GROW,U.S.
1146,GRPN,Groupon
1147,GRVY,GRAVITY
1148,GSBC,Great
1149,GSHD,Goosehead
1150,GSHT,Gores
1151,GSHTU,Gores
1152,GSHTW,Gores
1153,GSKY,GreenSky
